review_id,product_id,rating,content,review_date
R000183,P1003,5,音质清晰 连接稳定,2026-03-16
R000029,P1001,5,性价比高 家人也觉得好用,2026-03-17
R000150,P1002,5,性价比高 家人也觉得好用,2026-03-17
R000180,P1003,5,发货及时 包装完整,2026-03-18
R000195,P1003,4,功能符合预期 会继续关注,2026-03-18
R000217,P1004,5,发货及时 包装完整,2026-03-18
R000231,P1004,5,发货及时 包装完整,2026-03-18
R000252,P1005,4,性价比高 家人也觉得好用,2026-03-18
R000011,P1001,5,性价比高 家人也觉得好用,2026-03-19
R000018,P1001,4,发货及时 包装完整,2026-03-19
R000186,P1003,4,性价比高 家人也觉得好用,2026-03-19
R000208,P1003,5,发货及时 包装完整,2026-03-19
R000228,P1004,3,功能够用 包装一般,2026-03-19
R000235,P1004,5,性价比高 家人也觉得好用,2026-03-19
R000249,P1005,5,性价比高 家人也觉得好用,2026-03-19
R000007,P1001,5,外观质感不错 使用体验顺手,2026-03-20
R000148,P1002,5,音质清晰 连接稳定,2026-03-20
R000161,P1002,5,音质清晰 连接稳定,2026-03-20
R000192,P1003,5,发货及时 包装完整,2026-03-20
R000219,P1004,4,性价比高 家人也觉得好用,2026-03-20
R000279,P1005,5,发货及时 包装完整,2026-03-20
R000009,P1001,5,功能符合预期 会继续关注,2026-03-21
R000023,P1001,4,发货及时 包装完整,2026-03-21
R000012,P1001,5,功能符合预期 会继续关注,2026-03-22
R000043,P1001,4,外观质感不错 使用体验顺手,2026-03-22
R000187,P1003,5,功能符合预期 会继续关注,2026-03-22
R000198,P1003,5,外观质感不错 使用体验顺手,2026-03-22
R000037,P1001,4,性价比高 家人也觉得好用,2026-03-23
R000163,P1002,2,功能够用 包装一般,2026-03-23
R000179,P1003,4,外观质感不错 使用体验顺手,2026-03-23
R000184,P1003,5,发货及时 包装完整,2026-03-23
R000188,P1003,4,外观质感不错 使用体验顺手,2026-03-23
R000189,P1003,4,功能符合预期 会继续关注,2026-03-23
R000240,P1004,5,音质清晰 连接稳定,2026-03-23
R000031,P1001,5,发货及时 包装完整,2026-03-24
R000196,P1003,5,音质清晰 连接稳定,2026-03-24
R000230,P1004,5,外观质感不错 使用体验顺手,2026-03-24
R000239,P1004,5,功能符合预期 会继续关注,2026-03-24
R000258,P1005,3,整体还可以 后续再观察,2026-03-24
R000027,P1001,4,性价比高 家人也觉得好用,2026-03-25
R000033,P1001,5,外观质感不错 使用体验顺手,2026-03-25
R000153,P1002,5,外观质感不错 使用体验顺手,2026-03-25
R000218,P1004,5,性价比高 家人也觉得好用,2026-03-25
R000233,P1004,5,性价比高 家人也觉得好用,2026-03-25
R000272,P1005,5,外观质感不错 使用体验顺手,2026-03-25
R000006,P1001,5,音质清晰 连接稳定,2026-03-26
R000041,P1001,5,性价比高 家人也觉得好用,2026-03-26
R000144,P1002,5,发货及时 包装完整,2026-03-26
R000147,P1002,5,性价比高 家人也觉得好用,2026-03-26
R000209,P1003,5,外观质感不错 使用体验顺手,2026-03-26
R000254,P1005,5,发货及时 包装完整,2026-03-26
R000017,P1001,4,外观质感不错 使用体验顺手,2026-03-27
R000025,P1001,5,功能符合预期 会继续关注,2026-03-27
R000026,P1001,4,性价比高 家人也觉得好用,2026-03-27
R000270,P1005,5,发货及时 包装完整,2026-03-27
R000005,P1001,4,音质清晰 连接稳定,2026-03-28
R000034,P1001,5,性价比高 家人也觉得好用,2026-03-29
R000038,P1001,4,外观质感不错 使用体验顺手,2026-03-29
R000215,P1004,2,整体还可以 后续再观察,2026-03-29
R000024,P1001,5,音质清晰 连接稳定,2026-03-30
R000241,P1004,5,外观质感不错 使用体验顺手,2026-03-30
R000016,P1001,5,性价比高 家人也觉得好用,2026-03-31
R000193,P1003,2,价格合适 细节还有提升空间,2026-03-31
R000199,P1003,5,外观质感不错 使用体验顺手,2026-03-31
R000065,P1001,2,物流慢 客服响应也偏慢,2026-04-01
R000081,P1001,1,物流慢 客服响应也偏慢,2026-04-01
R000082,P1001,1,物流慢 等了很多天才收到,2026-04-01
R000107,P1001,2,佩戴不舒服 长时间使用耳朵疼,2026-04-01
R000114,P1001,4,价格合适 细节还有提升空间,2026-04-01
R000176,P1003,5,发货及时 包装完整,2026-04-01
R000278,P1005,4,发货及时 包装完整,2026-04-01
R000115,P1001,4,价格合适 细节还有提升空间,2026-04-02
R000142,P1002,5,音质清晰 连接稳定,2026-04-02
R000086,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-03
R000090,P1001,2,续航不达预期 佩戴不舒服,2026-04-03
R000094,P1001,2,物流慢 等了很多天才收到,2026-04-03
R000194,P1003,5,性价比高 家人也觉得好用,2026-04-03
R000250,P1005,3,价格合适 细节还有提升空间,2026-04-03
R000055,P1001,2,物流慢 等了很多天才收到,2026-04-04
R000076,P1001,1,续航不达预期 一天内需要频繁充电,2026-04-04
R000260,P1005,5,外观质感不错 使用体验顺手,2026-04-04
R000053,P1001,2,佩戴不舒服 长时间使用耳朵疼,2026-04-05
R000058,P1001,2,物流慢 等了很多天才收到,2026-04-05
R000083,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-05
R000098,P1001,1,物流慢 客服响应也偏慢,2026-04-05
R000113,P1001,2,物流慢 客服响应也偏慢,2026-04-05
R000120,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-05
R000256,P1005,2,功能够用 包装一般,2026-04-05
R000273,P1005,5,功能符合预期 会继续关注,2026-04-05
R000059,P1001,1,物流慢 等了很多天才收到,2026-04-06
R000073,P1001,4,价格合适 细节还有提升空间,2026-04-06
R000213,P1004,4,音质清晰 连接稳定,2026-04-06
R000255,P1005,5,发货及时 包装完整,2026-04-06
R000122,P1001,2,物流慢 客服响应也偏慢,2026-04-07
R000124,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-07
R000160,P1002,4,功能符合预期 会继续关注,2026-04-07
R000210,P1003,5,音质清晰 连接稳定,2026-04-07
R000225,P1004,4,外观质感不错 使用体验顺手,2026-04-07
R000247,P1005,4,功能符合预期 会继续关注,2026-04-07
R000061,P1001,4,整体还可以 后续再观察,2026-04-08
R000214,P1004,5,性价比高 家人也觉得好用,2026-04-08
R000253,P1005,5,音质清晰 连接稳定,2026-04-08
R000095,P1001,2,物流慢 客服响应也偏慢,2026-04-09
R000116,P1001,2,物流慢 客服响应也偏慢,2026-04-09
R000146,P1002,4,功能符合预期 会继续关注,2026-04-09
R000149,P1002,5,音质清晰 连接稳定,2026-04-09
R000158,P1002,4,性价比高 家人也觉得好用,2026-04-09
R000191,P1003,5,外观质感不错 使用体验顺手,2026-04-09
R000211,P1004,4,外观质感不错 使用体验顺手,2026-04-09
R000096,P1001,3,价格合适 细节还有提升空间,2026-04-10
R000101,P1001,2,物流慢 等了很多天才收到,2026-04-10
R000132,P1001,2,物流慢 等了很多天才收到,2026-04-10
R000133,P1001,2,佩戴不舒服 长时间使用耳朵疼,2026-04-10
R000190,P1003,2,功能够用 包装一般,2026-04-10
R000251,P1005,5,外观质感不错 使用体验顺手,2026-04-10
R000266,P1005,2,功能够用 包装一般,2026-04-10
R000280,P1005,5,音质清晰 连接稳定,2026-04-10
R000054,P1001,2,物流慢 等了很多天才收到,2026-04-11
R000056,P1001,4,价格合适 细节还有提升空间,2026-04-11
R000066,P1001,4,价格合适 细节还有提升空间,2026-04-11
R000084,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-11
R000104,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-11
R000119,P1001,2,物流慢 等了很多天才收到,2026-04-11
R000156,P1002,4,音质清晰 连接稳定,2026-04-11
R000237,P1004,2,整体还可以 后续再观察,2026-04-11
R000063,P1001,2,续航不达预期 佩戴不舒服,2026-04-12
R000200,P1003,4,发货及时 包装完整,2026-04-12
R000227,P1004,4,音质清晰 连接稳定,2026-04-12
R000275,P1005,4,外观质感不错 使用体验顺手,2026-04-13
R000069,P1001,2,续航不达预期 佩戴不舒服,2026-04-14
R000074,P1001,4,价格合适 细节还有提升空间,2026-04-14
R000137,P1001,1,续航不达预期 佩戴不舒服,2026-04-14
R000178,P1003,5,性价比高 家人也觉得好用,2026-04-14
R000246,P1005,5,外观质感不错 使用体验顺手,2026-04-14
R000267,P1005,5,性价比高 家人也觉得好用,2026-04-14
R000046,P1001,1,物流慢 等了很多天才收到,2026-04-15
R000047,P1001,2,续航不达预期 佩戴不舒服,2026-04-15
R000062,P1001,4,功能够用 包装一般,2026-04-15
R000100,P1001,1,续航不达预期 一天内需要频繁充电,2026-04-15
R000111,P1001,2,物流慢 客服响应也偏慢,2026-04-15
R000207,P1003,4,发货及时 包装完整,2026-04-15
R000216,P1004,5,音质清晰 连接稳定,2026-04-15
R000067,P1001,2,续航不达预期 佩戴不舒服,2026-04-16
R000077,P1001,1,物流慢 客服响应也偏慢,2026-04-16
R000110,P1001,4,整体还可以 后续再观察,2026-04-16
R000257,P1005,5,功能符合预期 会继续关注,2026-04-16
R000276,P1005,3,整体还可以 后续再观察,2026-04-16
R000088,P1001,2,物流慢 客服响应也偏慢,2026-04-17
R000089,P1001,3,整体还可以 后续再观察,2026-04-17
R000264,P1005,4,性价比高 家人也觉得好用,2026-04-17
R000051,P1001,2,续航不达预期 佩戴不舒服,2026-04-18
R000075,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-18
R000091,P1001,4,价格合适 细节还有提升空间,2026-04-18
R000103,P1001,2,续航不达预期 佩戴不舒服,2026-04-18
R000141,P1002,5,功能符合预期 会继续关注,2026-04-18
R000271,P1005,4,性价比高 家人也觉得好用,2026-04-18
R000049,P1001,2,物流慢 客服响应也偏慢,2026-04-19
R000078,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-19
R000080,P1001,2,续航不达预期 佩戴不舒服,2026-04-19
R000168,P1002,3,价格合适 细节还有提升空间,2026-04-19
R000181,P1003,5,功能符合预期 会继续关注,2026-04-19
R000238,P1004,3,功能够用 包装一般,2026-04-19
R000274,P1005,5,性价比高 家人也觉得好用,2026-04-19
R000087,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-20
R000097,P1001,3,整体还可以 后续再观察,2026-04-20
R000102,P1001,2,佩戴不舒服 长时间使用耳朵疼,2026-04-20
R000222,P1004,4,功能符合预期 会继续关注,2026-04-20
R000099,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-21
R000108,P1001,3,价格合适 细节还有提升空间,2026-04-21
R000118,P1001,2,物流慢 等了很多天才收到,2026-04-21
R000135,P1001,1,续航不达预期 一天内需要频繁充电,2026-04-21
R000136,P1001,3,功能够用 包装一般,2026-04-21
R000048,P1001,2,续航不达预期 佩戴不舒服,2026-04-22
R000105,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-22
R000117,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-22
R000127,P1001,2,物流慢 等了很多天才收到,2026-04-22
R000128,P1001,2,续航不达预期 佩戴不舒服,2026-04-22
R000139,P1001,2,续航不达预期 佩戴不舒服,2026-04-22
R000060,P1001,3,功能够用 包装一般,2026-04-23
R000138,P1001,4,价格合适 细节还有提升空间,2026-04-23
R000140,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-23
R000159,P1002,3,价格合适 细节还有提升空间,2026-04-23
R000166,P1002,2,整体还可以 后续再观察,2026-04-23
R000167,P1002,5,发货及时 包装完整,2026-04-23
R000202,P1003,5,功能符合预期 会继续关注,2026-04-23
R000248,P1005,5,外观质感不错 使用体验顺手,2026-04-23
R000071,P1001,2,佩戴不舒服 长时间使用耳朵疼,2026-04-24
R000072,P1001,3,功能够用 包装一般,2026-04-24
R000079,P1001,2,续航不达预期 佩戴不舒服,2026-04-24
R000093,P1001,1,物流慢 客服响应也偏慢,2026-04-24
R000165,P1002,2,功能够用 包装一般,2026-04-24
R000197,P1003,4,性价比高 家人也觉得好用,2026-04-24
R000201,P1003,5,性价比高 家人也觉得好用,2026-04-24
R000206,P1003,4,音质清晰 连接稳定,2026-04-24
R000223,P1004,2,价格合适 细节还有提升空间,2026-04-24
R000052,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-25
R000070,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-25
R000092,P1001,3,价格合适 细节还有提升空间,2026-04-25
R000121,P1001,1,物流慢 客服响应也偏慢,2026-04-25
R000123,P1001,4,整体还可以 后续再观察,2026-04-25
R000129,P1001,3,整体还可以 后续再观察,2026-04-25
R000130,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-25
R000243,P1004,5,外观质感不错 使用体验顺手,2026-04-25
R000050,P1001,1,物流慢 等了很多天才收到,2026-04-26
R000125,P1001,1,佩戴不舒服 长时间使用耳朵疼,2026-04-26
R000134,P1001,3,价格合适 细节还有提升空间,2026-04-26
R000152,P1002,5,外观质感不错 使用体验顺手,2026-04-26
R000057,P1001,2,续航不达预期 佩戴不舒服,2026-04-27
R000068,P1001,2,续航不达预期 一天内需要频繁充电,2026-04-27
R000106,P1001,2,物流慢 客服响应也偏慢,2026-04-27
R000126,P1001,4,整体还可以 后续再观察,2026-04-27
R000131,P1001,4,整体还可以 后续再观察,2026-04-27
R000173,P1002,5,性价比高 家人也觉得好用,2026-04-27
R000220,P1004,3,功能够用 包装一般,2026-04-27
R000261,P1005,4,功能符合预期 会继续关注,2026-04-28
R000085,P1001,1,物流慢 等了很多天才收到,2026-04-29
R000203,P1003,5,外观质感不错 使用体验顺手,2026-04-29
R000221,P1004,4,功能符合预期 会继续关注,2026-04-29
R000245,P1004,5,功能符合预期 会继续关注,2026-04-29
R000064,P1001,1,物流慢 等了很多天才收到,2026-04-30
R000109,P1001,3,价格合适 细节还有提升空间,2026-04-30
R000112,P1001,2,物流慢 客服响应也偏慢,2026-04-30
R000155,P1002,2,整体还可以 后续再观察,2026-04-30
R000204,P1003,5,发货及时 包装完整,2026-04-30
R000224,P1004,5,音质清晰 连接稳定,2026-04-30
R000268,P1005,4,音质清晰 连接稳定,2026-04-30
R000277,P1005,5,发货及时 包装完整,2026-04-30
